CALENDAR_YEAR,COC_ID,COC_NAME,ETHNICITY,EXPERIENCING_HOMELESSNESS
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",Not Hispanic/Latinx,161
2018,CA-531,Nevada County CoC,Hispanic/Latinx,51
2018,CA-531,Nevada County CoC,Not Hispanic/Latinx,493
2018,CA-531,Nevada County CoC,Unknown,*
2018,CA-600,Los Angeles County CoC,Hispanic/Latinx,24912
2018,CA-600,Los Angeles County CoC,Not Hispanic/Latinx,46981
2018,CA-600,Los Angeles County CoC,Unknown,3124
2018,CA-601,San Diego County CoC,Hispanic/Latinx,4581
2018,CA-601,San Diego County CoC,Not Hispanic/Latinx,10374
2018,CA-601,San Diego County CoC,Unknown,233
2018,CA-602,Orange County CoC,Hispanic/Latinx,4979
2018,CA-602,Orange County CoC,Not Hispanic/Latinx,6893
2018,CA-602,Orange County CoC,Unknown,156
2018,CA-603,Santa Barbara County CoC,Hispanic/Latinx,1110
2018,CA-603,Santa Barbara County CoC,Not Hispanic/Latinx,1394
2018,CA-603,Santa Barbara County CoC,Unknown,166
2018,CA-604,Kern County CoC,Hispanic/Latinx,1692
2018,CA-604,Kern County CoC,Not Hispanic/Latinx,3133
2018,CA-604,Kern County CoC,Unknown,*
2018,CA-606,Long Beach CoC (Los Angeles County),Hispanic/Latinx,626
2018,CA-606,Long Beach CoC (Los Angeles County),Not Hispanic/Latinx,2085
2018,CA-606,Long Beach CoC (Los Angeles County),Unknown,*
2018,CA-607,Pasadena CoC (Los Angeles County),Hispanic/Latinx,558
2018,CA-607,Pasadena CoC (Los Angeles County),Not Hispanic/Latinx,792
2018,CA-607,Pasadena CoC (Los Angeles County),Unknown,*
2018,CA-608,Riverside County CoC,Hispanic/Latinx,2755
2018,CA-608,Riverside County CoC,Not Hispanic/Latinx,4367
2018,CA-608,Riverside County CoC,Unknown,37
2018,CA-609,San Bernardino County CoC,Hispanic/Latinx,2734
2018,CA-609,San Bernardino County CoC,Not Hispanic/Latinx,4890
2018,CA-609,San Bernardino County CoC,Unknown,*
2018,CA-611,Ventura County CoC,Hispanic/Latinx,884
2018,CA-611,Ventura County CoC,Not Hispanic/Latinx,848
2018,CA-611,Ventura County CoC,Unknown,*
2018,CA-612,Glendale CoC (Los Angeles County),Hispanic/Latinx,170
2018,CA-612,Glendale CoC (Los Angeles County),Not Hispanic/Latinx,198
2018,CA-612,Glendale CoC (Los Angeles County),Unknown,*
2018,CA-613,Imperial County CoC,Hispanic/Latinx,757
2018,CA-613,Imperial County CoC,Not Hispanic/Latinx,102
2018,CA-613,Imperial County CoC,Unknown,*
2018,CA-614,San Luis Obispo County CoC,Hispanic/Latinx,611
2018,CA-614,San Luis Obispo County CoC,Not Hispanic/Latinx,1165
2018,CA-614,San Luis Obispo County CoC,Unknown,26
2019,All,California,Hispanic/Latinx,80351
2019,All,California,Not Hispanic/Latinx,152515
2019,All,California,Unknown,5157
2019,CA-500,Santa Clara County CoC,Hispanic/Latinx,5950
2019,CA-500,Santa Clara County CoC,Not Hispanic/Latinx,5855
2019,CA-500,Santa Clara County CoC,Unknown,58
2019,CA-501,San Francisco CoC,Hispanic/Latinx,2364
2019,CA-501,San Francisco CoC,Not Hispanic/Latinx,5450
2019,CA-501,San Francisco CoC,Unknown,232
2019,CA-502,Alameda County CoC,Hispanic/Latinx,1412
2019,CA-502,Alameda County CoC,Not Hispanic/Latinx,6114
2019,CA-502,Alameda County CoC,Unknown,30
2019,CA-503,Sacramento County CoC,Hispanic/Latinx,1948
2019,CA-503,Sacramento County CoC,Not Hispanic/Latinx,8933
2019,CA-503,Sacramento County CoC,Unknown,15
2019,CA-504,Sonoma County CoC,Hispanic/Latinx,967
2019,CA-504,Sonoma County CoC,Not Hispanic/Latinx,2831
2019,CA-504,Sonoma County CoC,Unknown,31
2019,CA-505,Contra Costa County CoC,Hispanic/Latinx,1117
2019,CA-505,Contra Costa County CoC,Not Hispanic/Latinx,4587
2019,CA-505,Contra Costa County CoC,Unknown,105
2019,CA-506,"Monterey, San Benito Counties CoC",Hispanic/Latinx,497
2019,CA-506,"Monterey, San Benito Counties CoC",Not Hispanic/Latinx,480
2019,CA-506,"Monterey, San Benito Counties CoC",Unknown,*
2019,CA-507,Marin County CoC,Hispanic/Latinx,315
2019,CA-507,Marin County CoC,Not Hispanic/Latinx,876
2019,CA-507,Marin County CoC,Unknown,21
2019,CA-508,Santa Cruz County CoC,Hispanic/Latinx,1017
2019,CA-508,Santa Cruz County CoC,Not Hispanic/Latinx,1345
2019,CA-508,Santa Cruz County CoC,Unknown,73
2019,CA-509,Mendocino County CoC,Hispanic/Latinx,119
2019,CA-509,Mendocino County CoC,Not Hispanic/Latinx,589
2019,CA-509,Mendocino County CoC,Unknown,22
2019,CA-510,Stanislaus County CoC,Hispanic/Latinx,2610
2019,CA-510,Stanislaus County CoC,Not Hispanic/Latinx,3621
2019,CA-510,Stanislaus County CoC,Unknown,*
2019,CA-511,San Joaquin County CoC,Hispanic/Latinx,3834
2019,CA-511,San Joaquin County CoC,Not Hispanic/Latinx,7126
2019,CA-511,San Joaquin County CoC,Unknown,74
2019,CA-512,San Mateo County CoC,Hispanic/Latinx,1592
