fileyear,Program,Level,Number,Person,Cases,Medi-Cal,ACA,FPACT,CalFresh,CalWorks,IHSS,Child Welfare,Foster Care,DDS,WIC,Black,White,Hispanic,Asian_PI,Native American/Other/Unknown,Female,Male,Unknown/Other Gender,age1 missing,17 and Under,18 and Over,age2 missing,18-64,65 and Over,18 to 59,60 and Over,1 program,2 programs,3 programs,4 programs,5+ programs,1 department,2 departments,3 departments,4 departments,fc age missing,age 0,1 to 2,3 to 5,6 to 10,11 to 15,16 to 17,18 to 20,less than 19,20 to 24,25 to 29,30 to 34,35 and over,wic age 0,wic age 1,wic age 2,wic age 3,wic age 4,wic age 5 to 19,wic age 20 and Over
2015,WIC,State Assembly,District 15,10554,,9388,,878,4806,2041,,204,108,0,,1906,605,6284,1078,681,6445,4109,0,,,,,,,,,1036,4032,3327,1999,160,1036,4641,4877,,,,,,,,,,8094,567,733,648,512,2295,1748,1419,1310,1184,138,2460
2015,WIC,State Assembly,District 16,2370,,2137,,178,953,367,,39,21,0,,115,453,1383,244,175,1467,903,0,,,,,,,,,201,1077,709,353,30,201,1208,961,,,,,,,,,,1803,143,173,149,102,498,423,298,272,279,33,567
2015,WIC,State Assembly,District 17,9340,,8633,,574,4850,1646,,269,94,0,,1012,368,4541,2974,445,5705,3635,0,,,,,,,,,642,3371,3562,1579,186,642,3778,4920,,,,,,,,,,7170,378,662,620,510,1870,1472,1356,1212,1170,90,2170
2015,WIC,State Assembly,District 18,19227,,17492,,1521,10562,4889,22,399,197,0,,3955,753,10437,2865,1217,11616,7611,0,,,,,,,,,1533,5957,6638,4752,347,1533,7012,10682,,,,,,,,,,15049,1051,1336,1054,737,3745,3148,2756,2674,2477,249,4178
2015,WIC,State Assembly,District 19,6308,,5548,,347,2515,565,,73,27,0,,208,398,2544,2898,260,3857,2451,0,,,,,,,,,701,2836,2155,565,51,701,3100,2507,,,,,,,,,,4857,226,453,429,343,1370,1039,889,781,725,53,1451
2015,WIC,State Assembly,District 20,13177,,11557,,839,5710,2220,,189,116,0,,1035,840,8317,2079,906,7888,5289,0,,,,,,,,,1443,5398,4012,2200,124,1443,5993,5741,,,,,,,,,,10464,674,880,679,480,2634,2216,1934,1822,1686,172,2713
2015,WIC,State Assembly,District 21,31664,,29645,,1741,19061,9667,,769,430,0,,644,2656,25749,1514,1101,18865,12799,0,,,,,,,,,1809,9293,10719,9222,621,1809,10518,19337,,,,,,,,,,25571,1811,1980,1381,921,6404,5262,4661,4389,4247,608,6093
2015,WIC,State Assembly,District 22,6386,,5873,,433,2752,488,,112,32,0,,86,413,5103,454,330,3848,2538,0,,,,,,,,,460,2798,2579,495,54,460,3142,2784,,,,,,,,,,5067,320,380,349,270,1323,1060,875,891,826,92,1319
2015,WIC,State Assembly,District 23,24181,,22263,,1099,16687,8042,42,665,442,0,,1772,3115,15314,2665,1315,14624,9557,0,,,,,,,,,1646,5214,8941,7823,557,1646,5728,16807,,,,,,,,,,19521,1372,1559,1132,597,4990,4135,3602,3262,3151,381,4660
2015,WIC,State Assembly,District 24,6631,,6089,,609,2812,652,,105,39,0,,178,221,5530,352,350,4001,2630,0,,,,,,,,,494,2782,2626,683,46,494,3292,2845,,,,,,,,,,5250,335,434,337,275,1319,1072,986,913,856,104,1381
