CALENDAR_YEAR,COC_ID,COC_NAME,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
2017,CA-525,El Dorado County CoC,35-44,*
2017,CA-525,El Dorado County CoC,45-54,*
2017,CA-525,El Dorado County CoC,55-64,*
2017,CA-525,El Dorado County CoC,Under 18,128
2017,CA-525,El Dorado County CoC,Unknown,*
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",18-24,31
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",25-34,69
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",35-44,58
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",45-54,48
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",55-64,25
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",65+,*
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Under 18,137
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Unknown,*
2017,CA-527,Tehama County CoC,18-24,30
2017,CA-527,Tehama County CoC,25-34,79
2017,CA-527,Tehama County CoC,35-44,71
2017,CA-527,Tehama County CoC,45-54,62
2017,CA-527,Tehama County CoC,55-64,78
2017,CA-527,Tehama County CoC,65+,22
2017,CA-527,Tehama County CoC,Under 18,53
2017,CA-527,Tehama County CoC,Unknown,*
2017,CA-529,Lake County CoC,18-24,*
2017,CA-529,Lake County CoC,25-34,*
2017,CA-529,Lake County CoC,35-44,*
2017,CA-529,Lake County CoC,45-54,*
2017,CA-529,Lake County CoC,55-64,*
2017,CA-529,Lake County CoC,65+,*
2017,CA-529,Lake County CoC,Under 18,15
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",18-24,16
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",25-34,22
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",35-44,25
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",45-54,26
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",55-64,21
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",65+,*
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",Under 18,41
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",Unknown,*
2017,CA-531,Nevada County CoC,18-24,42
2017,CA-531,Nevada County CoC,25-34,80
2017,CA-531,Nevada County CoC,35-44,93
2017,CA-531,Nevada County CoC,45-54,88
2017,CA-531,Nevada County CoC,55-64,75
2017,CA-531,Nevada County CoC,65+,24
2017,CA-531,Nevada County CoC,Under 18,63
2017,CA-531,Nevada County CoC,Unknown,*
2017,CA-600,Los Angeles County CoC,18-24,6040
2017,CA-600,Los Angeles County CoC,25-34,9236
2017,CA-600,Los Angeles County CoC,35-44,8201
2017,CA-600,Los Angeles County CoC,45-54,9235
2017,CA-600,Los Angeles County CoC,55-64,7642
2017,CA-600,Los Angeles County CoC,65+,2305
2017,CA-600,Los Angeles County CoC,Under 18,12479
2017,CA-600,Los Angeles County CoC,Unknown,1864
2017,CA-601,San Diego County CoC,18-24,720
2017,CA-601,San Diego County CoC,25-34,1569
2017,CA-601,San Diego County CoC,35-44,1712
2017,CA-601,San Diego County CoC,45-54,2116
2017,CA-601,San Diego County CoC,55-64,2139
2017,CA-601,San Diego County CoC,65+,561
2017,CA-601,San Diego County CoC,Under 18,2777
2017,CA-601,San Diego County CoC,Unknown,138
2017,CA-602,Orange County CoC,18-24,547
2017,CA-602,Orange County CoC,25-34,1245
2017,CA-602,Orange County CoC,35-44,1197
2017,CA-602,Orange County CoC,45-54,1281
2017,CA-602,Orange County CoC,55-64,1056
2017,CA-602,Orange County CoC,65+,318
2017,CA-602,Orange County CoC,Under 18,2778
2017,CA-602,Orange County CoC,Unknown,2168
2017,CA-603,Santa Barbara County CoC,18-24,181
2017,CA-603,Santa Barbara County CoC,25-34,500
2017,CA-603,Santa Barbara County CoC,35-44,457
2017,CA-603,Santa Barbara County CoC,45-54,511
2017,CA-603,Santa Barbara County CoC,55-64,461
2017,CA-603,Santa Barbara County CoC,65+,166
2017,CA-603,Santa Barbara County CoC,Under 18,524
2017,CA-603,Santa Barbara County CoC,Unknown,32
2017,CA-604,Kern County CoC,18-24,357
2017,CA-604,Kern County CoC,25-34,719
2017,CA-604,Kern County CoC,35-44,551
2017,CA-604,Kern County CoC,45-54,550
2017,CA-604,Kern County CoC,55-64,339
2017,CA-604,Kern County CoC,65+,108
2017,CA-604,Kern County CoC,Under 18,1939
2017,CA-604,Kern County CoC,Unknown,106
2017,CA-606,Long Beach CoC (Los Angeles County),18-24,131
2017,CA-606,Long Beach CoC (Los Angeles County),25-34,392
2017,CA-606,Long Beach CoC (Los Angeles County),35-44,322
2017,CA-606,Long Beach CoC (Los Angeles County),45-54,456
2017,CA-606,Long Beach CoC (Los Angeles County),55-64,487
2017,CA-606,Long Beach CoC (Los Angeles County),65+,166
2017,CA-606,Long Beach CoC (Los Angeles County),Under 18,772
2017,CA-606,Long Beach CoC (Los Angeles County),Unknown,28
2017,CA-607,Pasadena CoC (Los Angeles County),18-24,84
