NAME,B01003_001E,B25014_001E,B25014_005E,B25014_006E,B25014_007E,B25014_011E,B25014_012E,B25014_013E,B25106_006E,B25106_010E,B25106_014E,B25106_018E,B25106_022E,B25106_028E,B25106_032E,B25106_036E,B25106_040E,B25106_044E,state,county,Year
"San Luis Obispo County, California",280119.0,105044.0,656.0,198.0,90.0,1696.0,835.0,103.0,3532.0,3201.0,2955.0,4676.0,6003.0,7585.0,5864.0,4206.0,2792.0,978.0,06,079,2017
"Fresno County, California",971616.0,301824.0,6755.0,1200.0,478.0,14264.0,3888.0,1657.0,10715.0,11047.0,8797.0,8089.0,5730.0,39128.0,25257.0,8205.0,3536.0,606.0,06,019,2017
"Kern County, California",878744.0,264993.0,6115.0,1022.0,462.0,12050.0,3269.0,1008.0,10671.0,10729.0,8726.0,7353.0,3918.0,27339.0,18999.0,6879.0,3588.0,761.0,06,029,2017
"Orange County, California",3155816.0,1024976.0,15820.0,4451.0,1503.0,43873.0,18961.0,6867.0,27180.0,25996.0,23311.0,40841.0,77175.0,54293.0,59336.0,50102.0,51360.0,24860.0,06,059,2017
"Ventura County, California",847834.0,270046.0,4197.0,961.0,367.0,8547.0,3080.0,1224.0,7063.0,8216.0,7022.0,12433.0,21078.0,12075.0,13655.0,11553.0,11849.0,5825.0,06,111,2017
"Calaveras County, California",45057.0,17812.0,151.0,87.0,0.0,33.0,29.0,0.0,1394.0,1206.0,781.0,699.0,1007.0,716.0,602.0,428.0,212.0,52.0,06,009,2017
"Sutter County, California",95583.0,32188.0,531.0,119.0,21.0,1095.0,316.0,167.0,1302.0,762.0,1065.0,984.0,631.0,2752.0,2575.0,923.0,582.0,77.0,06,101,2017
"San Mateo County, California",763450.0,261796.0,3758.0,1007.0,415.0,8498.0,4775.0,1746.0,5954.0,5488.0,4757.0,8399.0,24324.0,9369.0,10431.0,9752.0,11879.0,8803.0,06,081,2017
"Tuolumne County, California",53899.0,22267.0,278.0,34.0,7.0,277.0,71.0,0.0,1150.0,1134.0,860.0,915.0,651.0,1545.0,1152.0,435.0,162.0,48.0,06,109,2017
"San Joaquin County, California",724153.0,223808.0,3910.0,979.0,228.0,7987.0,2201.0,590.0,7989.0,7102.0,6040.0,8527.0,6848.0,21019.0,16854.0,8304.0,5345.0,790.0,06,077,2017
"Amador County, California",37306.0,14185.0,100.0,0.0,46.0,117.0,3.0,0.0,893.0,679.0,532.0,508.0,318.0,647.0,809.0,201.0,80.0,17.0,06,005,2017
"San Diego County, California",3283665.0,1111739.0,12092.0,2999.0,1247.0,36892.0,15429.0,4027.0,28385.0,28313.0,28090.0,43354.0,68919.0,74115.0,78569.0,58199.0,50675.0,21743.0,06,073,2017
"Merced County, California",269075.0,79606.0,1720.0,316.0,264.0,4062.0,944.0,305.0,3160.0,2654.0,2575.0,1821.0,1192.0,8143.0,5749.0,3126.0,1094.0,84.0,06,047,2018
"Mariposa County, California",17540.0,7700.0,68.0,28.0,0.0,54.0,18.0,0.0,473.0,204.0,249.0,191.0,204.0,490.0,368.0,153.0,105.0,15.0,06,043,2018
"Modoc County, California",8938.0,3660.0,100.0,13.0,0.0,6.0,6.0,0.0,209.0,286.0,94.0,87.0,40.0,225.0,53.0,6.0,0.0,0.0,06,049,2018
"Contra Costa County, California",1133247.0,392277.0,4608.0,950.0,367.0,9280.0,2938.0,795.0,9390.0,10916.0,10925.0,16403.0,30991.0,18091.0,15556.0,13062.0,13293.0,7727.0,06,013,2018
"Inyo County, California",18085.0,8083.0,61.0,0.0,0.0,85.0,10.0,0.0,385.0,247.0,299.0,181.0,163.0,507.0,459.0,185.0,171.0,3.0,06,027,2018
"Stanislaus County, California",539301.0,172682.0,3191.0,681.0,364.0,5483.0,1356.0,414.0,6195.0,5921.0,5956.0,6819.0,3416.0,14939.0,12358.0,7100.0,2851.0,324.0,06,099,2018
"Santa Barbara County, California",443738.0,144962.0,2539.0,824.0,210.0,7182.0,3535.0,1120.0,3863.0,3867.0,2926.0,4873.0,7826.0,9682.0,9617.0,7861.0,7090.0,3630.0,06,083,2018
"Lake County, California",64148.0,25966.0,325.0,49.0,64.0,282.0,122.0,0.0,2194.0,1154.0,685.0,815.0,629.0,2048.0,1604.0,721.0,252.0,21.0,06,033,2018
"Glenn County, California",27897.0,10017.0,97.0,0.0,3.0,253.0,31.0,2.0,528.0,259.0,256.0,296.0,163.0,1126.0,440.0,134.0,15.0,0.0,06,021,2018
"Butte County, California",227075.0,86797.0,688.0,145.0,107.0,1384.0,332.0,101.0,5082.0,2786.0,2555.0,2477.0,1446.0,9977.0,5902.0,2744.0,1704.0,193.0,06,007,2018
"Kings County, California",150075.0,42735.0,902.0,160.0,73.0,1820.0,428.0,100.0,1483.0,1380.0,1000.0,894.0,470.0,3759.0,3331.0,1651.0,524.0,118.0,06,031,2018
"Plumas County, California",18699.0,8047.0,38.0,0.0,0.0,36.0,0.0,0.0,436.0,405.0,253.0,328.0,206.0,533.0,240.0,159.0,72.0,0.0,06,063,2018
"San Luis Obispo County, California",281455.0,105317.0,751.0,201.0,91.0,1649.0,670.0,120.0,3580.0,3140.0,3142.0,4447.0,6367.0,6920.0,5452.0,4267.0,3170.0,1165.0,06,079,2018
"Fresno County, California",978130.0,304624.0,6349.0,1146.0,628.0,13510.0,3984.0,2645.0,9825.0,11195.0,7760.0,8496.0,5388.0,36766.0,26079.0,9270.0,4256.0,704.0,06,019,2018
"Kern County, California",883053.0,267913.0,6299.0,1090.0,489.0,12002.0,3690.0,1222.0,10806.0,10602.0,8904.0,8305.0,4458.0,25928.0,19408.0,7269.0,3620.0,618.0,06,029,2018
"Orange County, California",3164182.0,1032373.0,15731.0,4614.0,1455.0,43900.0,18825.0,6988.0,26707.0,25574.0,22728.0,38607.0,79125.0,50597.0,55290.0,49058.0,55662.0,29331.0,06,059,2018
"Ventura County, California",848112.0,271226.0,4189.0,851.0,384.0,8145.0,3166.0,1157.0,7237.0,7673.0,6710.0,12235.0,21969.0,11310.0,13171.0,11726.0,12138.0,6789.0,06,111,2018
"Calaveras County, California",45235.0,17417.0,204.0,91.0,0.0,37.0,17.0,0.0,1047.0,1028.0,939.0,781.0,918.0,711.0,546.0,454.0,320.0,71.0,06,009,2018
"Sutter County, California",95872.0,32360.0,499.0,155.0,24.0,1049.0,211.0,149.0,1141.0,831.0,865.0,1218.0,814.0,2344.0,2502.0,969.0,607.0,51.0,06,101,2018
"San Mateo County, California",765935.0,261969.0,3870.0,1101.0,446.0,8392.0,4985.0,1753.0,5998.0,5160.0,4375.0,7655.0,24627.0,8778.0,9495.0,8567.0,11982.0,10679.0,06,081,2018
"Tuolumne County, California",53932.0,22427.0,308.0,30.0,7.0,273.0,71.0,0.0,1254.0,1116.0,811.0,968.0,740.0,1485.0,1128.0,400.0,111.0,27.0,06,109,2018
"San Joaquin County, California",732212.0,226727.0,4035.0,986.0,245.0,8166.0,2455.0,638.0,7867.0,6778.0,5647.0,8519.0,7135.0,19436.0,16715.0,9260.0,5831.0,1368.0,06,077,2018
"Amador County, California",37829.0,14090.0,239.0,0.0,46.0,105.0,8.0,0.0,874.0,681.0,574.0,565.0,278.0,581.0,774.0,321.0,97.0,14.0,06,005,2018
"Mono County, California",14174.0,4847.0,24.0,0.0,0.0,43.0,0.0,0.0,160.0,71.0,177.0,257.0,283.0,50.0,222.0,194.0,123.0,0.0,06,051,2018
"San Benito County, California",59416.0,17740.0,278.0,61.0,74.0,757.0,207.0,88.0,369.0,452.0,633.0,815.0,1551.0,767.0,849.0,626.0,502.0,247.0,06,069,2018
"Sacramento County, California",1510023.0,536029.0,5692.0,1284.0,516.0,13423.0,4234.0,1155.0,16302.0,15558.0,15097.0,19539.0,15858.0,46553.0,39002.0,21574.0,13428.0,2408.0,06,067,2018
"El Dorado County, California",186661.0,69172.0,549.0,169.0,58.0,601.0,137.0,18.0,3398.0,2928.0,2395.0,3468.0,4899.0,2363.0,2521.0,1242.0,855.0,519.0,06,017,2018
"Monterey County, California",433212.0,126052.0,3022.0,642.0,391.0,7786.0,3113.0,2267.0,3171.0,3061.0,3290.0,4448.0,6643.0,7150.0,9865.0,6966.0,6203.0,2625.0,06,053,2018
"San Francisco County, California",870044.0,359673.0,3548.0,1431.0,264.0,5806.0,9198.0,2706.0,5562.0,4580.0,3742.0,6394.0,19881.0,28939.0,16631.0,10605.0,12508.0,14307.0,06,075,2018
"San Diego County, California",3302833.0,1118980.0,12950.0,3047.0,1382.0,37665.0,15888.0,4083.0,27389.0,27586.0,26464.0,42069.0,72355.0,70342.0,74018.0,59662.0,55666.0,26337.0,06,073,2018
"Tulare County, California",460477.0,136106.0,3518.0,830.0,291.0,6815.0,1330.0,533.0,7094.0,6434.0,4781.0,3774.0,1689.0,15030.0,10098.0,3652.0,1171.0,337.0,06,107,2018
"Humboldt County, California",135768.0,54267.0,485.0,216.0,62.0,906.0,387.0,29.0,2306.0,1847.0,2264.0,2118.0,1214.0,6002.0,4785.0,1539.0,988.0,88.0,06,023,2018
"Alpine County, California",1146.0,299.0,4.0,1.0,0.0,2.0,0.0,0.0,19.0,15.0,16.0,17.0,33.0,3.0,2.0,0.0,2.0,0.0,06,003,2018
"Madera County, California",155013.0,44759.0,893.0,184.0,54.0,1964.0,487.0,428.0,2135.0,1716.0,1632.0,1576.0,804.0,3322.0,2807.0,1551.0,438.0,65.0,06,039,2018
"Santa Cruz County, California",273765.0,95756.0,1288.0,265.0,88.0,3053.0,1550.0,790.0,3135.0,2412.0,2335.0,3422.0,7315.0,6492.0,5660.0,3839.0,4105.0,2378.0,06,087,2018
"Trinity County, California",12862.0,5796.0,64.0,25.0,33.0,18.0,8.0,0.0,357.0,254.0,147.0,98.0,126.0,552.0,336.0,173.0,17.0,0.0,06,105,2018
"Riverside County, California",2383286.0,718349.0,15189.0,3423.0,1851.0,21040.0,6213.0,1870.0,33681.0,31766.0,27591.0,35240.0,31791.0,44007.0,42024.0,25702.0,19480.0,6065.0,06,065,2018
"San Bernardino County, California",2135413.0,630633.0,15799.0,3379.0,1377.0,25654.0,8461.0,1810.0,23769.0,24463.0,21107.0,27825.0,21729.0,49756.0,43530.0,26771.0,17929.0,4567.0,06,071,2018
"Marin County, California",260295.0,105258.0,302.0,232.0,14.0,2182.0,1253.0,301.0,2519.0,2955.0,2274.0,3404.0,11044.0,4111.0,3720.0,3505.0,4201.0,3261.0,06,041,2018
"Placer County, California",380077.0,140661.0,953.0,176.0,76.0,1225.0,435.0,59.0,5293.0,5542.0,4004.0,6609.0,8734.0,5664.0,5487.0,3696.0,3745.0,1144.0,06,061,2018
"Shasta County, California",179085.0,70473.0,604.0,132.0,93.0,1093.0,343.0,36.0,3762.0,2916.0,2527.0,2586.0,1473.0,6184.0,4714.0,1972.0,790.0,127.0,06,089,2018
"Solano County, California",438530.0,149067.0,1773.0,444.0,166.0,3751.0,1230.0,331.0,3994.0,3871.0,4361.0,6412.0,7078.0,8166.0,8006.0,6286.0,6064.0,1842.0,06,095,2018
"Colusa County, California",21464.0,7113.0,166.0,13.0,25.0,175.0,84.0,31.0,190.0,343.0,221.0,178.0,160.0,473.0,477.0,124.0,15.0,22.0,06,011,2018
"Tehama County, California",63373.0,24025.0,255.0,171.0,25.0,591.0,191.0,13.0,1577.0,1420.0,980.0,926.0,265.0,1901.0,1719.0,501.0,135.0,60.0,06,103,2018
"Yuba County, California",75493.0,26179.0,679.0,98.0,25.0,737.0,229.0,137.0,1174.0,774.0,1130.0,958.0,391.0,2265.0,1759.0,724.0,582.0,79.0,06,115,2018
"Lassen County, California",31185.0,9493.0,51.0,7.0,2.0,52.0,12.0,3.0,396.0,277.0,161.0,291.0,75.0,743.0,421.0,116.0,67.0,14.0,06,035,2018
"Sonoma County, California",501317.0,189339.0,2123.0,490.0,216.0,5016.0,1611.0,394.0,5909.0,5863.0,4621.0,7570.0,11992.0,10278.0,8952.0,7782.0,8400.0,3497.0,06,097,2018
"Imperial County, California",180216.0,44057.0,1026.0,399.0,277.0,2177.0,567.0,170.0,2581.0,1778.0,1268.0,1212.0,492.0,5803.0,2521.0,774.0,211.0,55.0,06,025,2018
"Alameda County, California",1643700.0,572870.0,7979.0,1984.0,557.0,20765.0,9804.0,3077.0,11645.0,11406.0,9560.0,15994.0,38194.0,36098.0,29479.0,22998.0,24406.0,15555.0,06,001,2018
"Napa County, California",140530.0,49032.0,765.0,77.0,78.0,1590.0,460.0,113.0,1545.0,1550.0,1071.0,2096.0,3171.0,2028.0,2140.0,2061.0,1921.0,921.0,06,055,2018
"Sierra County, California",2930.0,1241.0,2.0,0.0,0.0,0.0,0.0,0.0,134.0,63.0,46.0,0.0,44.0,85.0,56.0,0.0,0.0,0.0,06,091,2018
"Yolo County, California",214977.0,73510.0,500.0,168.0,41.0,2516.0,791.0,52.0,1721.0,1417.0,1278.0,2084.0,2506.0,7802.0,5252.0,2915.0,2354.0,307.0,06,113,2018
"Nevada County, California",99092.0,40904.0,243.0,143.0,80.0,232.0,58.0,52.0,2290.0,2071.0,1883.0,2259.0,2248.0,2043.0,1583.0,994.0,646.0,179.0,06,057,2018
"Mendocino County, California",87422.0,34090.0,389.0,120.0,55.0,847.0,236.0,78.0,1814.0,1568.0,883.0,1669.0,838.0,3024.0,2137.0,1398.0,608.0,61.0,06,045,2018
"Los Angeles County, California",10098052.0,3306109.0,61736.0,15855.0,6880.0,160169.0,93050.0,40596.0,84386.0,81658.0,80572.0,117947.0,180789.0,315396.0,281202.0,191288.0,143425.0,62324.0,06,037,2018
"Santa Clara County, California",1922200.0,635525.0,9843.0,2249.0,734.0,24226.0,10695.0,3423.0,12698.0,12026.0,10437.0,17217.0,51643.0,28174.0,23032.0,21403.0,26115.0,25816.0,06,085,2018
"Siskiyou County, California",43540.0,19257.0,138.0,84.0,19.0,280.0,67.0,34.0,1232.0,904.0,591.0,435.0,167.0,1741.0,1133.0,300.0,97.0,29.0,06,093,2018
"Del Norte County, California",27424.0,9799.0,76.0,16.0,38.0,174.0,127.0,28.0,711.0,273.0,159.0,253.0,243.0,1031.0,553.0,81.0,45.0,0.0,06,015,2018
"Merced County, California",271382.0,80008.0,1476.0,238.0,210.0,3889.0,897.0,288.0,2786.0,2352.0,2623.0,1805.0,1197.0,7512.0,5818.0,2854.0,1204.0,178.0,06,047,2019
"Mariposa County, California",17420.0,7643.0,63.0,22.0,0.0,103.0,16.0,0.0,515.0,249.0,235.0,171.0,200.0,535.0,411.0,169.0,140.0,8.0,06,043,2019
