County,Population,Total Housing Units,Year,Units Overcrowded,Units Severely Overcrowded,Units Income < 50K,Units Costs >= 30%
Napa County,140530.0,49032.0,2018,2355.0,728.0,47937.0,18504.0
Sierra County,2930.0,1241.0,2018,2.0,0.0,1206.0,428.0
Yolo County,214977.0,73510.0,2018,3016.0,1052.0,70781.0,27636.0
Nevada County,99092.0,40904.0,2018,475.0,333.0,39796.0,16196.0
Mendocino County,87422.0,34090.0,2018,1236.0,489.0,32378.0,14000.0
Los Angeles County,10098052.0,3306109.0,2018,221905.0,156381.0,3206775.0,1538987.0
Santa Clara County,1922200.0,635525.0,2018,34069.0,17101.0,622770.0,228561.0
Siskiyou County,43540.0,19257.0,2018,418.0,204.0,18540.0,6629.0
Del Norte County,27424.0,9799.0,2018,250.0,209.0,9238.0,3349.0
Merced County,271382.0,80008.0,2019,5365.0,1633.0,76252.0,28329.0
Mariposa County,17420.0,7643.0,2019,166.0,38.0,7286.0,2633.0
Modoc County,8907.0,3616.0,2019,87.0,21.0,3413.0,979.0
Contra Costa County,1142251.0,394769.0,2019,13950.0,6093.0,386982.0,144412.0
Inyo County,17977.0,7950.0,2019,177.0,21.0,7537.0,2352.0
Stanislaus County,543194.0,173898.0,2019,9199.0,2814.0,168352.0,65286.0
Santa Barbara County,444829.0,145856.0,2019,10128.0,5529.0,142276.0,60400.0
Tehama County,63912.0,24189.0,2019,742.0,292.0,23217.0,9288.0
Mono County,14310.0,4765.0,2019,71.0,0.0,4579.0,1418.0
San Benito County,60376.0,18135.0,2019,899.0,489.0,17771.0,6930.0
Sacramento County,1524553.0,543025.0,2019,19119.0,7718.0,529986.0,205773.0
El Dorado County,188563.0,70974.0,2019,1313.0,442.0,69311.0,24528.0
Monterey County,433410.0,127155.0,2019,11316.0,6232.0,124126.0,53796.0
San Francisco County,874961.0,362354.0,2019,9288.0,14803.0,352422.0,119486.0
San Diego County,3316073.0,1125286.0,2019,51108.0,25822.0,1099763.0,479310.0
Tulare County,461898.0,138238.0,2019,10450.0,2921.0,133167.0,54533.0
Humboldt County,135940.0,54679.0,2019,1470.0,924.0,52428.0,22988.0
Alpine County,1039.0,350.0,2019,7.0,3.0,343.0,100.0
Madera County,155433.0,44881.0,2019,3193.0,1189.0,43090.0,15639.0
Santa Cruz County,273962.0,95818.0,2019,4353.0,2525.0,93423.0,39760.0
Trinity County,12700.0,5939.0,2019,89.0,55.0,5661.0,2024.0
Riverside County,2411439.0,724893.0,2019,36991.0,13333.0,704851.0,295309.0
San Bernardino County,2149031.0,636041.0,2019,41039.0,15239.0,620477.0,257872.0
Marin County,259943.0,105432.0,2019,2758.0,2146.0,102884.0,41071.0
Placer County,385512.0,142855.0,2019,2181.0,749.0,139386.0,49258.0
Shasta County,179212.0,71181.0,2019,1869.0,721.0,69312.0,26026.0
Solano County,441829.0,149865.0,2019,5538.0,2430.0,146861.0,55445.0
Colusa County,21454.0,7227.0,2019,394.0,126.0,6884.0,2134.0
Glenn County,27976.0,10085.0,2019,378.0,67.0,9639.0,3238.0
Butte County,225817.0,85320.0,2019,2068.0,679.0,82517.0,32933.0
Kings County,150691.0,43452.0,2019,2736.0,821.0,41921.0,14669.0
Plumas County,18660.0,8450.0,2019,187.0,23.0,8097.0,2432.0
San Luis Obispo County,282165.0,105981.0,2019,2324.0,1127.0,103289.0,41740.0
