ID,Name,State,Value,Year
CA-115,Yuba County,California,62,2018
CA-001,Alameda County,California,60.5,2017
CA-003,Alpine County,California,45.4,2017
CA-005,Amador County,California,59.5,2017
CA-007,Butte County,California,61.1,2017
CA-009,Calaveras County,California,60,2017
CA-011,Colusa County,California,62.9,2017
CA-013,Contra Costa County,California,61.5,2017
CA-015,Del Norte County,California,52.4,2017
CA-017,El Dorado County,California,55.3,2017
CA-019,Fresno County,California,57.3,2017
CA-021,Glenn County,California,61.4,2017
CA-023,Humboldt County,California,54.8,2017
CA-025,Imperial County,California,76.3,2017
CA-027,Inyo County,California,62.6,2017
CA-029,Kern County,California,63.8,2017
CA-031,Kings County,California,65.6,2017
CA-033,Lake County,California,58.5,2017
CA-035,Lassen County,California,48.3,2017
CA-037,Los Angeles County,California,64.1,2017
CA-039,Madera County,California,57.8,2017
CA-041,Marin County,California,57.5,2017
CA-043,Mariposa County,California,57,2017
CA-045,Mendocino County,California,56.6,2017
CA-047,Merced County,California,64,2017
CA-049,Modoc County,California,48.2,2017
CA-051,Mono County,California,45.8,2017
CA-053,Monterey County,California,60.4,2017
CA-055,Napa County,California,60.8,2017
CA-057,Nevada County,California,53.7,2017
CA-059,Orange County,California,66.3,2017
CA-061,Placer County,California,55,2017
CA-063,Plumas County,California,48.7,2017
CA-065,Riverside County,California,70.7,2017
CA-067,Sacramento County,California,63.7,2017
CA-069,San Benito County,California,60.7,2017
CA-071,San Bernardino County,California,68.7,2017
CA-073,San Diego County,California,65.2,2017
CA-075,San Francisco County,California,58.5,2017
CA-077,San Joaquin County,California,63.7,2017
CA-079,San Luis Obispo County,California,61.7,2017
CA-081,San Mateo County,California,58.4,2017
CA-083,Santa Barbara County,California,60.7,2017
CA-085,Santa Clara County,California,59.8,2017
CA-087,Santa Cruz County,California,58.9,2017
CA-089,Shasta County,California,56.6,2017
CA-091,Sierra County,California,48.7,2017
CA-093,Siskiyou County,California,50,2017
CA-095,Solano County,California,62.2,2017
CA-097,Sonoma County,California,58.5,2017
CA-099,Stanislaus County,California,63.4,2017
CA-101,Sutter County,California,64.6,2017
CA-103,Tehama County,California,60.1,2017
CA-105,Trinity County,California,53.7,2017
CA-107,Tulare County,California,56,2017
CA-109,Tuolumne County,California,51.8,2017
CA-111,Ventura County,California,60.3,2017
CA-113,Yolo County,California,63.1,2017
CA-115,Yuba County,California,62.3,2017
