Area Type,Area Name,Year,Period,Labor Force,Employment,Unemployment,Unemployment Rate,Seasonally Adjusted (Y N),Status
Sub-County Place,Lone Pine CDP,2021,Annual,510,480,40,6.8,N,Final
Sub-County Place,Long Beach city,2021,Annual,232500,210300,22200,9.6,N,Final
Sub-County Place,Loomis town,2021,Annual,2800,2700,100,3.9,N,Final
Sub-County Place,Los Alamitos city,2021,Annual,5700,5200,500,8.3,N,Final
Sub-County Place,Los Alamos CDP,2021,Annual,700,700,0,0.7,N,Final
Sub-County Place,Los Altos city,2021,Annual,14200,13700,500,3.5,N,Final
Sub-County Place,Los Angeles city,2021,Annual,2050200,1868300,181900,8.9,N,Final
Sub-County Place,Los Banos city,2021,Annual,17000,14800,2200,12.9,N,Final
Sub-County Place,Los Gatos town,2021,Annual,15500,14800,700,4.3,N,Final
Sub-County Place,Los Molinos CDP,2021,Annual,640,590,50,7.4,N,Final
Sub-County Place,Lost Hills CDP,2021,Annual,700,700,0,5.3,N,Final
Sub-County Place,Lower Lake CDP,2021,Annual,370,360,10,2.2,N,Final
Sub-County Place,Loyalton city,2021,Annual,390,380,10,2.6,N,Final
Sub-County Place,Lucerne CDP,2021,Annual,1290,1190,100,7.5,N,Final
Sub-County Place,Lynwood city,2021,Annual,28000,24900,3100,11,N,Final
Sub-County Place,McCloud CDP,2021,Annual,310,290,20,6.1,N,Final
Sub-County Place,McFarland city,2021,Annual,5400,4900,500,8.9,N,Final
Sub-County Place,McKinleyville CDP,2021,Annual,6900,6600,300,4.2,N,Final
Sub-County Place,McKittrick CDP,2021,Annual,0,0,0,4.3,N,Final
Sub-County Place,Madera city,2021,Annual,28200,25600,2500,9,N,Final
Sub-County Place,Madera Acres CDP,2021,Annual,4300,4000,200,5.8,N,Final
Sub-County Place,Magalia CDP,2021,Annual,3700,3400,300,7.4,N,Final
Sub-County Place,Malibu city,2021,Annual,5200,4900,300,6.2,N,Final
Sub-County Place,Mammoth Lakes town,2021,Annual,4770,4770,0,0,N,Final
Sub-County Place,Manhattan Beach city,2021,Annual,18500,17500,1000,5.3,N,Final
Sub-County Place,Manteca city,2021,Annual,39400,36500,2900,7.3,N,Final
Sub-County Place,Manton CDP,2021,Annual,70,60,10,12.3,N,Final
Sub-County Place,March AFB CDP,2021,Annual,200,200,0,0,N,Final
Sub-County Place,Maricopa city,2021,Annual,500,500,100,13.4,N,Final
Sub-County Place,Marina city,2021,Annual,12000,11300,700,5.7,N,Final
Sub-County Place,Marina del Rey CDP,2021,Annual,6900,6400,400,6.1,N,Final
Sub-County Place,Mariposa CDP,2021,Annual,460,440,20,4.3,N,Final
Sub-County Place,Markleeville CDP,2021,Annual,40,40,0,0,N,Final
Sub-County Place,Martinez city,2021,Annual,19600,18600,1100,5.5,N,Final
Sub-County Place,Marysville city,2021,Annual,4600,4300,400,8.1,N,Final
Sub-County Place,Mayflower Village CDP,2021,Annual,2800,2600,100,5.2,N,Final
Sub-County Place,Maywood city,2021,Annual,12000,11000,1000,8.6,N,Final
Sub-County Place,Meadow Valley CDP,2021,Annual,150,150,0,0,N,Final
Sub-County Place,Meadow Vista CDP,2021,Annual,1500,1400,100,6.2,N,Final
Sub-County Place,Mecca CDP,2021,Annual,2700,2300,500,17.2,N,Final
Sub-County Place,Meiners Oaks CDP,2021,Annual,1900,1800,0,2.6,N,Final
Sub-County Place,Mendocino CDP,2021,Annual,440,430,10,2.1,N,Final
Sub-County Place,Mendota city,2021,Annual,5000,4400,600,12.2,N,Final
Sub-County Place,Menifee City,2021,Annual,42300,39100,3200,7.5,N,Final
Sub-County Place,Menlo Park city,2021,Annual,19200,18600,600,3.3,N,Final
Sub-County Place,Mentone CDP,2021,Annual,4600,4400,200,4,N,Final
Sub-County Place,Merced city,2021,Annual,35500,32300,3300,9.2,N,Final
Sub-County Place,Mesa CDP,2021,Annual,190,190,0,0,N,Final
Sub-County Place,Mesa Vista CDP,2021,Annual,90,90,0,2.1,N,Final
Sub-County Place,Mettler CDP,2021,Annual,100,100,0,5,N,Final
Sub-County Place,Middletown CDP,2021,Annual,810,740,70,8.6,N,Final
Sub-County Place,Millbrae city,2021,Annual,12800,12200,600,4.8,N,Final
Sub-County Place,Mill Valley city,2021,Annual,6800,6600,200,3.2,N,Final
Sub-County Place,Milpitas city,2021,Annual,39900,37800,2200,5.4,N,Final
Sub-County Place,Mineral CDP,2021,Annual,60,40,20,25.9,N,Final
Sub-County Place,Mira Monte CDP,2021,Annual,3200,2900,300,9.6,N,Final
Sub-County Place,Mission Canyon CDP,2021,Annual,1300,1300,0,1.2,N,Final
Sub-County Place,Mission Hills CDP,2021,Annual,2000,1900,100,5.9,N,Final
Sub-County Place,Mission Viejo city,2021,Annual,47500,44900,2600,5.5,N,Final
Sub-County Place,Mi Wuk Village CDP,2021,Annual,470,420,50,10.6,N,Final
Sub-County Place,Modesto city,2021,Annual,94300,86800,7600,8,N,Final
Sub-County Place,Mohawk Vista CDP,2021,Annual,30,30,0,0,N,Final
Sub-County Place,Mojave CDP,2021,Annual,1600,1400,200,9.7,N,Final
Sub-County Place,Mokelumne Hill CDP,2021,Annual,430,430,0,0,N,Final
Sub-County Place,Mono Vista CDP,2021,Annual,1570,1460,110,6.8,N,Final
Sub-County Place,Monrovia city,2021,Annual,21200,19600,1500,7.1,N,Final
Sub-County Place,Montclair city,2021,Annual,20100,18800,1300,6.3,N,Final
Sub-County Place,Montebello city,2021,Annual,28400,25700,2800,9.7,N,Final
Sub-County Place,Montecito CDP,2021,Annual,3100,2800,200,7.2,N,Final
Sub-County Place,Monterey city,2021,Annual,15000,14300,700,4.7,N,Final
Sub-County Place,Monterey Park city,2021,Annual,28700,26300,2400,8.5,N,Final
Sub-County Place,Monte Rio CDP,2021,Annual,400,400,0,9.4,N,Final
Sub-County Place,Moorpark city,2021,Annual,18700,17800,900,5,N,Final
Sub-County Place,Morada CDP,2021,Annual,1600,1600,0,1,N,Final
